text,"label (1=hate, 0=normal)"
"kya mein bhooka hon? kutia ab tum ney ye poocha hai, mein ho sakta hon",1
"kya mein bhooka hon? kutia ab tum ney ye poocha hai, mein ho sakta hon",1
"khawateen ghaas ki tarah hain, inhen baqaidagi se peitnay/katnay ki zaroorat hai",1
aik aurat ke tor par aap ko apne ghar ki safai ke baray mein shikayat nahi karni chahiye,0
Afghani dehshat gard hotay hain,1
tamam sarkari hukkaam chor hain,1
yeh mohabbat nahi hai kutia,1
mujhe pizza khanay ki shadeed khuwahish hai lekin mere paas paisy nahi hain,0
kisi ko nahi pta un kutton k sath kiya masla hai,1
"Main ne swine flu, bird flu aur Zardari intzamiya jhaili, mujhe kuch nahi hoga",1
kam az kam main habshi nahi hon,1
islam aalmi satah par dehshat gard zehniat ko farogh deta hai,1
Ethiopia k log ghareeb hein,0
Ghareebon ko to khatam kr dena chahiye,1
poori dunya mein fasadaat ki jarr yahoodi hein,1
court room mein jhooti gawahi deny waly lantiyon ko b sakht saza honi chahiye,1
agr bhatty k paisy kal tk na pohunchy to factory ko aag laga dein gy,1
mein siyah logon se nafrat karta hon,1
Pakistan ne 1992 ka cricket world cup jeeta,0
Pakistan cricket team parchi aur sifarshi logon ko khilany ki wajah se haari hai,1
Syrians ghar jao aur maro,1
"Jo beghairat b Mumtaz Qadri k khilaf bhonkta hai, usy halaak kr do",1
"30 lakh afghaniyon ne pakistan ki economy tabah kr di hai, unhen foran nikal kr bahir phenk dena chahiye",1
aahh! Sb siyasatdan jhooty aur na-ahal hain,1
Trump bewakoof hai,1
Khadim Rizvi inteshaar phelata hai,1
Hafiz Saeed aur Khadim Rizvi Islami dehshat gard hein,1
kuch siyasatdan overseas pakistanion k bary mein bakwas kr rhy hein,1
"Obama ki daadi ko pta tha bura hony wala hai, isliye wo election se 3 din pehly mar gai",1
tumhen mohabbat nahi thi to bhonk dia hota,1
wo hijroun ki tarah chalta hai,1
wo kutia har waqt larti rehti hai,1
Tum eik ehsan faramosh kutia ho,1
Islam har baligh mard ko jihad ka hukam deta hai,1
dushman ne hamla kia to nuqsan uthaye ga,1
Islami dehshat gardon ko giraftaar kro aur jail mein daal do,1
tumhen kia pasand hai kutia,1
behan ap Q-TV dekh lo ya madni channel,0
Imran Khan ko itna qarz leny ka hisab dena hoga,0
"Judiciary mein andhy logon ki koi jagah nai hai, qanoon andha hota hai lekin andhy judges ka idr koi kam nai",1
ye tawaifein kisi ki wafadar nahi,1
"Jo beghairat b Mumtaz Qadri k khilaf bhonkta hai, usy halaak kr do",1
Mein shiddat se agli episode ka wait kar raha hon,0
"30 lakh afghaniyon ne pakistan ki economy tabah kr di hai, unhen foran nikal kr bahir phenk dena chahiye",1
aahh! Sb siyasatdan jhooty aur na-ahal hain,1
Trump bewakoof hai,1
Qaatil ko azaad krna afsosnaak hai,0
Khadim Rizvi inteshaar phelata hai,1
Hafiz Saeed aur Khadim Rizvi Islami dehshat gard hein,1
har amal mein radd e amal hai,0
kuch siyasatdan overseas pakistanion k bary mein bakwas kr rhy hein,1
"Obama ki daadi ko pta tha bura hony wala hai, isliye wo election se 3 din pehly mar gai",1
tumhen mohabbat nahi thi to bhonk dia hota,1
wo hijroun ki tarah chalta hai,1
wo kutia har waqt larti rehti hai,1
islam aman ka mazhab hai,0
Tum eik ehsan faramosh kutia ho,1
Islam har baligh mard ko jihad ka hukam deta hai,1
dushman ne hamla kia to nuqsan uthaye ga,1
Dunya mein aman qaim karo,0
Islami dehshat gardon ko giraftaar kro aur jail mein daal do,1
na-ahal hukumat se kuch b thek se nai chal rha,1
log mery bary mein bakwas krty rehty hein,1
us ne jo kuch mery barey mein kaha wo sb bakwas hai,1
wo nafsiyati mareez hai,1
Tanzania eik ghareeb mulk hai,0
wo hamesha dosron ko bura bhala kehta hai,1
main ghalt baten phelany waly ko qatal kr dun ga,1
waqt aur lehar kisi ka intzaar nahi karte,0
us ne meri zindagi azab bana di hai,1
Are wah kya baat hai!,0
zalimon ka ehtesab zruri hai,1
khawateen ko barabar k haquq do,0
Zardari ne mulk ko bohut loota,1
"wo jis kam ko start krta hai, wahin per nahoosat chaa jati hai",1
usy selfies leny ka bohut shoq hai,0
haaliya barishon se bohut tabahi ho chuki hai,0
"Hafeez Sheikh ko jail mein dalo, pta chal jaye ga paisa kahan hai",1
